Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
21:22:27:43.368,61,0.0956662670,0.2068241239,0.1736966372,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0956695303,0.2092930377,0.0000000000,0.1381475031,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0136002880,0.0000000000,0.0000000000,0.0083679622,0.0527283475,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0640367344,0.0697206482,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0709689483,0.0606052838,0.0127424635,0.0109374700,0.0000000000,0.0000000000,0.0063637705,0.0065565100,0.0000000000,0.0000000000,0.0180370305,0.0078452444,0.0083017368,0.0060097203,0.0033472613,0.0000000000,0.0035983829,0.0097155524,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.0987951085,0.1179044694,0.0148966610,0.0929756016,0.1179206371,0.0232440010
21:22:27:44.370,61,0.0965499878,0.2042495161,0.1839951426,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0965533704,0.2068170160,0.0000000000,0.1475520432,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0135288900,0.0000000000,0.0000000000,0.0084198182,0.0526131466,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0635738000,0.0694334432,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0711651817,0.0605498478,0.0126466369,0.0108706709,0.0000000000,0.0000000000,0.0064171674,0.0065920888,0.0000000000,0.0000000000,0.0177472886,0.0075198347,0.0079743359,0.0058919452,0.0033292088,0.0000000000,0.0035432591,0.0095901489,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.1044797301,0.1165941209,0.0157385785,0.0985735804,0.1166101992,0.0239651185
21:22:27:45.372,61,0.0971140862,0.2032503933,0.1862737238,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0971173272,0.2058347017,0.0000000000,0.1496819854,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0134981209,0.0000000000,0.0000000000,0.0084198294,0.0522681475,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0632598177,0.0692240670,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0713863894,0.0605736226,0.0125784772,0.0108225942,0.0000000000,0.0000000000,0.0064565572,0.0066205487,0.0000000000,0.0000000000,0.0174106527,0.0070306705,0.0074825203,0.0057809148,0.0033305075,0.0000000000,0.0034588687,0.0094476584,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.1057710946,0.1160606891,0.0159058180,0.0998190045,0.1160767227,0.0240830556
21:22:27:46.373,61,0.0978601128,0.2028924823,0.1868224740,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0978632122,0.2054782510,0.0000000000,0.1502981782,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0135239214,0.0000000000,0.0000000000,0.0084547652,0.0520797074,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0634549558,0.0695038065,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0718840808,0.0608189106,0.0126104020,0.0108690402,0.0000000000,0.0000000000,0.0064955405,0.0066475286,0.0000000000,0.0000000000,0.0171271898,0.0064362008,0.0068843430,0.0057398044,0.0033721963,0.0000000000,0.0034191830,0.0093755433,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.1061453298,0.1158657074,0.0159502625,0.1001207829,0.1158816814,0.0241004247
21:22:27:47.375,61,0.0993347093,0.2035362273,0.1850316077,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0993376374,0.2061064988,0.0000000000,0.1486914903,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0135619109,0.0000000000,0.0000000000,0.0085308794,0.0520884544,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0638595968,0.0698921159,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0724492669,0.0611017868,0.0126848547,0.0109619480,0.0000000000,0.0000000000,0.0065312409,0.0066812900,0.0000000000,0.0000000000,0.0170099214,0.0059275916,0.0063702278,0.0057381899,0.0034138793,0.0000000000,0.0034280119,0.0093886219,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.1051720977,0.1162046194,0.0158189032,0.0991440117,0.1162205786,0.0239951611
21:22:27:48.376,61,0.1001911387,0.2039052397,0.1847939342,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1001940742,0.2064757496,0.0000000000,0.1484949291,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0136140641,0.0000000000,0.0000000000,0.0086212866,0.0521882400,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0647196919,0.0705015063,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0729196891,0.0612882785,0.0127512636,0.0110465409,0.0000000000,0.0000000000,0.0065514217,0.0066992720,0.0000000000,0.0000000000,0.0169912260,0.0054279584,0.0058645057,0.0057375836,0.0034673281,0.0000000000,0.0034501601,0.0094309216,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.1050505787,0.1164106131,0.0158174857,0.0990100801,0.1164265871,0.0240071658
21:22:27:49.378,61,0.1003057733,0.2027027756,0.1858611554,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1003083810,0.2052743584,0.0000000000,0.1495017707,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0136194015,0.0000000000,0.0000000000,0.0085795484,0.0520025901,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0654389337,0.0713900253,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0730331391,0.0612675771,0.0127124460,0.0110162366,0.0000000000,0.0000000000,0.0065180063,0.0066681742,0.0000000000,0.0000000000,0.0169641655,0.0050867256,0.0055234767,0.0056771976,0.0034912471,0.0000000000,0.0034038965,0.0093913479,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.1056672633,0.1157436967,0.0158591475,0.0996046215,0.1157595515,0.0239946991
21:22:27:50.379,61,0.0993346795,0.2023714930,0.1885781586,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0993328616,0.2049719989,0.0000000000,0.1519574821,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0135582723,0.0000000000,0.0000000000,0.0083986493,0.0514469892,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0659493282,0.0721324906,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0727361962,0.0610170923,0.0125707835,0.0108848317,0.0000000000,0.0000000000,0.0064263758,0.0065780003,0.0000000000,0.0000000000,0.0170053933,0.0055407481,0.0059927320,0.0055819461,0.0034302359,0.0000000000,0.0032398275,0.0092318561,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.1071493328,0.1155961007,0.0160925742,0.1010767519,0.1156119704,0.0242132004
21:22:27:51.381,61,0.0955004096,0.2028360516,0.1952956766,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0954967141,0.2055215687,0.0000000000,0.1579311192,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0135323051,0.0000000000,0.0000000000,0.0080865445,0.0494744219,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0659665838,0.0723905191,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0719432160,0.0606000870,0.0123500591,0.0106775975,0.0000000000,0.0000000000,0.0062941546,0.0064530433,0.0000000000,0.0000000000,0.0171866715,0.0063953986,0.0068753976,0.0054558581,0.0033087560,0.0000000000,0.0029703162,0.0089688599,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.1107434034,0.1159619689,0.0167273153,0.1046967059,0.1159779876,0.0248735491
21:22:27:52.382,61,0.0934722275,0.2045458406,0.1996654719,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0934688896,0.2073009461,0.0000000000,0.1617900878,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0135945147,0.0000000000,0.0000000000,0.0076954993,0.0453141704,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0655532181,0.0722304061,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0698888674,0.0599689111,0.0120661389,0.0104078650,0.0000000000,0.0000000000,0.0061380770,0.0063080909,0.0000000000,0.0000000000,0.0174834281,0.0074521070,0.0079881335,0.0052859485,0.0031700868,0.0000000000,0.0026404872,0.0086373240,0.0000000000,-0.0599695742,-0.1229389831,0.0420436524,0.1130518615,0.1170017421,0.0172168259,0.1070287079,0.1170178652,0.0254402310
